tradingsymbol,instrument_key
749RJ35,NSE_EQ|IN2920250163
182D140526,NSE_EQ|IN002025Y339
182D080526,NSE_EQ|IN002025Y321
757RJ43,NSE_EQ|IN2920250171
182D300426,NSE_EQ|IN002025Y313
715RJ53,NSE_EQ|IN2920250148
182D240426,NSE_EQ|IN002025Y305
717RJ52,NSE_EQ|IN2920250155
182D110626,NSE_EQ|IN002025Y370
182D040626,NSE_EQ|IN002025Y362
EIEL,NSE_EQ|INE0LLY01014
KCK,NSE_EQ|INE0J1E01027
645BR27,NSE_EQ|IN1320210025
182D280526,NSE_EQ|IN002025Y354
639BR27,NSE_EQ|IN1320210017
754RJ53,NSE_EQ|IN2920250189
182D210526,NSE_EQ|IN002025Y347
773RJ55,NSE_EQ|IN2920250197
MARUTI,NSE_EQ|INE585B01010
BYKE,NSE_EQ|INE319B01014
NATIONALUM,NSE_EQ|INE139A01034
182D260626,NSE_EQ|IN002025Y396
GS220830C,NSE_EQ|IN000830C025
182D180626,NSE_EQ|IN002025Y388
MBLINFRA,NSE_EQ|INE912H01013
680RJ35,NSE_EQ|IN2920250114
694RJ35,NSE_EQ|IN2920250122
TARIL,NSE_EQ|INE763I01026
706RJ38,NSE_EQ|IN2920250130
NDL,NSE_EQ|INE875G01048
709RJ43,NSE_EQ|IN2920250106
RADIOCITY,NSE_EQ|INE919I01024
GOKULAGRO,NSE_EQ|INE314T01033
CHEMICAL,NSE_EQ|INF174KA1XV0
NAVKARURB,NSE_EQ|INE268H01044
NINSYS,NSE_EQ|INE395U01014
LEMONTREE,NSE_EQ|INE970X01018
PRIZOR,NSE_EQ|INE0V9N01017
MOMENTUM30,NSE_EQ|INF174KA1XS6
685RJ51,NSE_EQ|IN2920250049
689RJ48,NSE_EQ|IN2920250056
67RJ35,NSE_EQ|IN2920250015
678RJ47,NSE_EQ|IN2920250023
685RJ47,NSE_EQ|IN2920250031
VLEGOV,NSE_EQ|INE03HW01020
668RJ35,NSE_EQ|IN2920250080
673RJ35,NSE_EQ|IN2920250098
686RJ52,NSE_EQ|IN2920250064
664RJ35,NSE_EQ|IN2920250072
182D160426,NSE_EQ|IN002025Y297
182D090426,NSE_EQ|IN002025Y289
TOP15IETF,NSE_EQ|INF109K1A344
BCONCEPTS,NSE_EQ|INE977Y01011
QUALITY30,NSE_EQ|INF174KA1WT6
AMBANIORGO,NSE_EQ|INE00C501018
SGFIN,NSE_EQ|INE618R01015
MANAPPURAM,NSE_EQ|INE522D01027
JOCIL,NSE_EQ|INE839G01010
APRAMEYA,NSE_EQ|INE0LQG01010
VINYLINDIA,NSE_EQ|INE250B01029
SMLT,NSE_EQ|INE017W01010
SEJALLTD,NSE_EQ|INE955I01044
IOLCP,NSE_EQ|INE485C01029
737IRFC29,NSE_EQ|INE053F08411
725IRFC34,NSE_EQ|INE053F08429
715IRFC39,NSE_EQ|INE053F08437
765RJ40,NSE_EQ|IN2920250379
CENTRUM,NSE_EQ|INE660C01027
709IRFC34,NSE_EQ|INE053F08445
752RJ35,NSE_EQ|IN2920250387
744RJ33B,NSE_EQ|IN2920250395
739IRFC34,NSE_EQ|INE053F08403
ASPINWALL,NSE_EQ|INE991I01015
678IRFC30,NSE_EQ|INE053F08494
724RJ36A,NSE_EQ|IN2920250312
724RJ35,NSE_EQ|IN2920250320
SHAREINDIA,NSE_EQ|INE932X01026
656RJ29,NSE_EQ|IN2920250304
VERTOZ,NSE_EQ|INE188Y01031
715IRFC34,NSE_EQ|INE053F08452
724RJ31,NSE_EQ|IN2920250361
725IRFC35B,NSE_EQ|INE053F08460
BOMDYEING,NSE_EQ|INE032A01023
754RJ35,NSE_EQ|IN2920250338
728IRFC40,NSE_EQ|INE053F08478
SGL,NSE_EQ|INE353H01010
717IRFC35,NSE_EQ|INE053F08486
754RJ36,NSE_EQ|IN2920250346
69RJ29,NSE_EQ|IN2920250353
651KA31,NSE_EQ|IN1920200046
649KA30,NSE_EQ|IN1920200038
INGERRAND,NSE_EQ|INE177A01018
658KA30,NSE_EQ|IN1920200053
PVSL,NSE_EQ|INE772T01024
CEINSYS,NSE_EQ|INE016Q01014
JISLJALEQS,NSE_EQ|INE175A01038
752RJ36,NSE_EQ|IN2920250403
793KA31,NSE_EQ|IN1920200020
MID150,NSE_EQ|INF174KA1VW2
780KA30,NSE_EQ|IN1920200012
717BR32,NSE_EQ|IN1320210157
885MFL28,NSE_EQ|INE414G07IS4
CPEDU,NSE_EQ|INE0P6P01016
612KA27,NSE_EQ|IN1920200087
SICALLOG,NSE_EQ|INE075B01020
57KA26,NSE_EQ|IN1920200079
878MFL27,NSE_EQ|INE414G07IR6
609KA28,NSE_EQ|IN1920200095
182D180926,NSE_EQ|IN002025Y503
0IRFC35,NSE_EQ|INE053F08536
182D130826,NSE_EQ|IN002025Y453
716RJ35,NSE_EQ|IN2920250288
182D060826,NSE_EQ|IN002025Y446
729RJ37,NSE_EQ|IN2920250296
687BR30A,NSE_EQ|IN1320210108
666RJ29,NSE_EQ|IN2920250262
182D300726,NSE_EQ|IN002025Y438
182D230726,NSE_EQ|IN002025Y420
675RJ30A,NSE_EQ|IN2920250270
797TOPO34,NSE_EQ|INE813H07424
684BR30,NSE_EQ|IN1320210124
182D100926,NSE_EQ|IN002025Y495
MSCIINDIA,NSE_EQ|INF174KA1VD2
665IRFC30,NSE_EQ|INE053F08502
683BR30,NSE_EQ|IN1320210116
182D030926,NSE_EQ|IN002025Y487
713BR32,NSE_EQ|IN1320210140
647IRFC28,NSE_EQ|INE053F08510
BANSWRAS,NSE_EQ|INE629D01020
182D270826,NSE_EQ|IN002025Y479
658IRFC30,NSE_EQ|INE053F08528
724BR32,NSE_EQ|IN1320210132
182D210826,NSE_EQ|IN002025Y461
PRIMECAB,NSE_EQ|INE0CQA01020
902MFL27,NSE_EQ|INE414G07JF9
HINDCON,NSE_EQ|INE642Y01029
NIFTY100EW,NSE_EQ|INF174KA1UW4
903MFL29,NSE_EQ|INE414G07JE2
732RJ35,NSE_EQ|IN2920250205
74KL37,NSE_EQ|IN2020210224
64KA30,NSE_EQ|IN1920200103
897MFL27,NSE_EQ|INE414G07JH5
EVIETF,NSE_EQ|INF109K1A153
909MFL29,NSE_EQ|INE414G07JG7
746RJ51,NSE_EQ|IN2920250239
890MFL27,NSE_EQ|INE414G07JB8
885MFL29,NSE_EQ|INE414G07JA0
723RJ35,NSE_EQ|IN2920250247
OWAIS,NSE_EQ|INE0R8M01017
73RJ51,NSE_EQ|IN2920250254
895MFL27,NSE_EQ|INE414G07JD4
746RJ38,NSE_EQ|IN2920250213
756RJ41,NSE_EQ|IN2920250221
FIEMIND,NSE_EQ|INE737H01014
MUTF27,NSE_EQ|INE414G07JC6
731KL32,NSE_EQ|IN2020210208
742KL34,NSE_EQ|IN2020210190
664KA32,NSE_EQ|IN1920200160
SFL,NSE_EQ|INE916U01025
852MFL28,NSE_EQ|INE414G07JN3
717KL32,NSE_EQ|IN2020210182
65KA30,NSE_EQ|IN1920200152
860MFL28,NSE_EQ|INE414G07JM5
677KA33,NSE_EQ|IN1920200186
820MFL30,NSE_EQ|INE414G07JP8
663KA30,NSE_EQ|IN1920200178
852MFL28A,NSE_EQ|INE414G07JO1
699KL36,NSE_EQ|IN2020210158
878MUTF29,NSE_EQ|INE414G07JJ1
686KL35,NSE_EQ|IN2020210141
64KA31,NSE_EQ|IN1920200111
PLATIND,NSE_EQ|INE0PT501018
890MFL27A,NSE_EQ|INE414G07JI3
649KA31,NSE_EQ|IN1920200145
MAHLOG,NSE_EQ|INE766P01016
714KL35,NSE_EQ|IN2020210174
865MFL28,NSE_EQ|INE414G07JL7
648KA30,NSE_EQ|IN1920200137
867MUTF30,NSE_EQ|INE414G07JK9
AMBIKCO,NSE_EQ|INE540G01014
EEPL,NSE_EQ|INE11HF01010
632KA28,NSE_EQ|IN1920200129
705KL36,NSE_EQ|IN2020210166
682BR28,NSE_EQ|IN1320210041
MUNJALAU,NSE_EQ|INE672B01032
675BR27,NSE_EQ|IN1320210033
785MFL29,NSE_EQ|INE414G07JU8
685BR30,NSE_EQ|IN1320210066
797TOPO35,NSE_EQ|INE813H07408
797TOPO36,NSE_EQ|INE813H07416
677BR28,NSE_EQ|IN1320210058
805MFL30,NSE_EQ|INE414G07JR4
182D170726,NSE_EQ|IN002025Y412
695BR30,NSE_EQ|IN1320210082
687BR30,NSE_EQ|IN1320210074
64KA30A,NSE_EQ|IN1920200194
182D090726,NSE_EQ|IN002025Y404
805MFL27,NSE_EQ|INE414G07JQ6
803MFL31,NSE_EQ|INE414G07JT0
788MFL28,NSE_EQ|INE414G07JS2
698BR30,NSE_EQ|IN1320210090
736IRED39,NSE_EQ|INE202E08235
732IREDA29,NSE_EQ|INE202E08243
737IREDA31,NSE_EQ|INE202E08250
728IREDA35,NSE_EQ|INE202E08268
GRINFRA,NSE_EQ|INE201P01022
740IREDA36,NSE_EQ|INE202E08276
ENRIN,NSE_EQ|INE1NPP01017
TATVA,NSE_EQ|INE0GK401011
CHALET,NSE_EQ|INE427F01016
774IREDA35,NSE_EQ|INE202E08292
764CG40,NSE_EQ|IN3520250108
INDOWIND,NSE_EQ|INE227G01018
DALBHARAT,NSE_EQ|INE00R701025
754CG38,NSE_EQ|IN3520250116
JUBLCPL,NSE_EQ|INE03CC01015
KHANDSE,NSE_EQ|INE060B01014
767CG43,NSE_EQ|IN3520250124
EMAPARTNER,NSE_EQ|INE0ZOL01023
SIGNPOST,NSE_EQ|INE0KGZ01021
75IREDA34,NSE_EQ|INE202E08201
744IREDA34,NSE_EQ|INE202E08219
739IREDA39,NSE_EQ|INE202E08227
18MVL27,NSE_EQ|INE387I07013
KALAMANDIR,NSE_EQ|INE438K01021
SHREERAMA,NSE_EQ|INE879A01019
KAMOPAINTS,NSE_EQ|INE0BTI01037
773CG44,NSE_EQ|IN3520250132
759IRDA34,NSE_EQ|INE202E08193
743PN48A,NSE_EQ|IN2820230091
743PN48,NSE_EQ|IN2820230083
IVALUE,NSE_EQ|INE056801025
747PN34,NSE_EQ|IN2820230075
745PN34,NSE_EQ|IN2820230067
741PN34,NSE_EQ|IN2820230059
ENFUSE,NSE_EQ|INE0S3X01014
737PN38,NSE_EQ|IN2820230042
747PN43,NSE_EQ|IN2820230034
759PN33,NSE_EQ|IN2820230018
762PN38,NSE_EQ|IN2820230026
ASCOM,NSE_EQ|INE08KD01015
1035CCSP26,NSE_EQ|INE157D07EH8
1035CCSP27,NSE_EQ|INE157D07EI6
1020CCSP27,NSE_EQ|INE157D07EJ4
102CCSP27A,NSE_EQ|INE157D07EK2
765RJ36,NSE_EQ|IN2920250437
749RJ36,NSE_EQ|IN2920250411
SANWARIA,NSE_EQ|INE890C01046
RSSOFTWARE,NSE_EQ|INE165B01029
733RJ31,NSE_EQ|IN2920250429
BAJAJ-AUTO,NSE_EQ|INE917I01010
7IREDAL30,NSE_EQ|INE202E08300
MAZDA,NSE_EQ|INE885E01042
CIGNITITEC,NSE_EQ|INE675C01017
745PN34A,NSE_EQ|IN2820230133
TMCV,NSE_EQ|INE1TAE01010
751PN36,NSE_EQ|IN2820230117
749PN37,NSE_EQ|IN2820230125
RGL,NSE_EQ|INE722H01024
752PN35,NSE_EQ|IN2820230109
PANACHE,NSE_EQ|INE895W01019
AKG,NSE_EQ|INE00Y801016
995CCSP27,NSE_EQ|INE157D07EL0
692BR32,NSE_EQ|IN1320190227
702BR30,NSE_EQ|IN1320190219
990CCSP27,NSE_EQ|INE157D07EM8
985CCSP27,NSE_EQ|INE157D07EN6
714BR30,NSE_EQ|IN1320190201
KIRLOSENG,NSE_EQ|INE146L01010
779PN36,NSE_EQ|IN2820230190
975CCSP28,NSE_EQ|INE157D07EO4
777PN33,NSE_EQ|IN2820230182
985CCSP28,NSE_EQ|INE157D07EP1
775PN36,NSE_EQ|IN2820230174
767PN35,NSE_EQ|IN2820230166
749PN35,NSE_EQ|IN2820230158
748PN34,NSE_EQ|IN2820230141
665TR35,NSE_EQ|IN3220200049
681TR35,NSE_EQ|IN3220200031
655TR30,NSE_EQ|IN3220200023
67TR30,NSE_EQ|IN3220200015
XTGLOBAL,NSE_EQ|INE547B01028
PULZ,NSE_EQ|INE335X01014
EMMBI,NSE_EQ|INE753K01015
TEXMOPIPES,NSE_EQ|INE141K01013
746PN33,NSE_EQ|IN2820230257
VERITAAS,NSE_EQ|INE0SRI01019
769PN36,NSE_EQ|IN2820230240
PARAMPARA,NSE_EQ|INE749Y01014
779PN38,NSE_EQ|IN2820230232
777PN36,NSE_EQ|IN2820230216
778PN37,NSE_EQ|IN2820230224
779PN37,NSE_EQ|IN2820230208
AGARWALEYE,NSE_EQ|INE943P01029
NIFTY1,NSE_EQ|INF174K014P6
BIOPOL,NSE_EQ|INE0XW001014
HINDZINC,NSE_EQ|INE267A01025
360ONE,NSE_EQ|INE466L01038
TIIL,NSE_EQ|INE545H01011
TANKUP,NSE_EQ|INE0Z7N01017
RELCHEMQ,NSE_EQ|INE750D01016
AGIIL,NSE_EQ|INE976R01033
VIESL,NSE_EQ|INE0TR001017
759CG46,NSE_EQ|IN3520250058
754CG36,NSE_EQ|IN3520250066
756CG37,NSE_EQ|IN3520250074
775CG42,NSE_EQ|IN3520250082
734CG40,NSE_EQ|IN3520250017
SARVESHWAR,NSE_EQ|INE324X01026
719CG35A,NSE_EQ|IN3520250025
SHREECEM,NSE_EQ|INE070A01015
737CG33,NSE_EQ|IN3520250033
75CG35,NSE_EQ|IN3520250041
729TR36,NSE_EQ|IN3220200064
734TR36,NSE_EQ|IN3220200056
759CG36,NSE_EQ|IN3520250090
GPECO,NSE_EQ|INE0S7E01015
